basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
ITIS0196,3099.383,1834.076,1128.198,25.002,3.222,76.995,0.638,0.14
ITIS0197,2003.535,387.376,17.384,9.006,51.09,26.604,0.627,0.122
ITIS0198,2731.77,1261.896,414.27,28.566,1.569,85.124,0.691,0.134
ITIS0199,2749.728,1154.361,229.853,26.382,3.298,81.679,0.596,0.161
ITIS0200,73.055,39.223,12.284,0.361,100.0,0.0,0.405,0.169
ITIS0201,497.979,100.499,6.481,1.234,90.78,0.303,0.524,0.23
ITIS0202,2658.196,841.942,49.829,23.742,3.258,72.928,0.552,0.165
ITIS0203,2658.196,710.363,17.836,19.337,9.0,57.26,0.524,0.177
ITIS0204,1466.819,470.009,31.021,10.785,18.34,26.939,0.552,0.19
ITIS0205,2210.663,1106.068,392.839,25.581,1.166,78.971,0.774,0.112
ITIS0206,1628.34,1240.759,508.102,27.873,0.597,87.91,0.507,0.0
ITIS0213,2025.51,1104.338,497.174,23.716,0.768,76.176,0.645,0.006
ITIS0231,3147.835,1823.267,762.776,25.377,0.989,76.348,0.624,0.144
ITIS0236,1750.952,596.501,95.305,22.69,12.214,70.316,0.579,0.18
ITIS0237,1750.952,656.976,131.684,25.033,4.932,77.776,0.593,0.091
ITIS0240,3214.845,1504.978,361.38,25.986,2.452,76.79,0.572,0.141
ITIS0243,1064.854,542.338,5.508,9.136,17.284,17.826,0.551,0.179
ITIS0244,2668.402,1618.64,345.553,30.76,0.393,92.41,0.597,0.171
ITIS0245,3182.384,2047.078,622.872,26.283,1.878,77.641,0.66,0.121
ITIS0247,1835.766,850.686,249.304,25.203,0.442,81.562,0.724,0.043
ITIS0261,1642.411,445.817,77.352,9.696,24.697,24.114,0.493,0.146
ITIS0263,902.033,287.682,46.327,9.941,7.246,15.81,0.713,0.192
ITIS0264,1266.377,553.279,107.899,18.528,1.463,67.443,0.661,0.137
ITIS0277,620.496,305.7,100.131,9.458,6.421,10.031,0.684,0.129
ITIS0281,1642.411,340.577,-21.775,9.194,24.77,20.292,0.573,0.167
ITIS0291,1719.609,353.124,56.306,8.104,15.426,8.498,0.606,0.179
ITIS0302,2027.969,779.742,13.908,20.706,2.64,70.727,0.623,0.158
ITIS0305,884.485,215.773,-19.152,7.808,27.812,10.674,0.654,0.13
ITIS0306,1719.609,458.418,100.356,8.45,11.607,8.124,0.648,0.164
ITIS0313,1054.094,320.345,234.609,5.038,48.935,6.847,0.63,0.163
ITIS0325,884.485,274.637,48.079,9.118,17.335,13.91,0.649,0.119
